,fromAddress,CNT_DEX_TX,TOTAL_DEX_OUT,MIN_BLOCK_ANALYZED,MAX_BLOCK_ANALYZED,FREQ_CNT_DEX_TX,MAX_DEX_OUT,CNT_UNISWAP_OUT,SUM_UNISWAP_OUT,CNT_KYBER_OUT,SUM_KYBER_OUT,CNT_DXDY_OUT,SUM_DXDY_OUT,CNT_nan_OUT,SUM_nan_OUT,CNT_BALANCER_OUT,SUM_BALANCER_OUT,CNT_DEX_AG_OUT,SUM_DEX_AG_OUT,CNT_AIRSWAP_OUT,SUM_AIRSWAP_OUT,CNT_TOTLE_OUT,SUM_TOTLE_OUT,CNT_ONE_INCH_OUT,SUM_ONE_INCH_OUT,CNT_PARASWAP_V2_OUT,SUM_PARASWAP_V2_OUT,CNT_BINANCE_OUT,SUM_BINANCE_OUT,ADDRESS_CATEGORY
57,0XD9A5C5BDE6031F84422FBE53409804C403E1B1AF,4698,13785.481506835278,11887110,12690930,171,40.214792258617116,4572,13785.481506835278,0,0.0,0,0.0,0,0,126,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
58,0X7DFE9A368B6CF0C0309B763BB8D16DA326E8F46E,44,13555.49804734695,6189597,12690911,147757,6000.00658,0,0.0,0,0.0,0,0.0,0,0,18,0,0,0.0,2,0,0,0.0,12,0,0,0.0,12,13555.49804734695,PLATINUM
59,0X4EF377462B03B650D52140C482394A6703D0D338,2887,13520.970962054616,12027017,12692462,230,42.12502568800677,2790,13520.970962054616,0,0.0,0,0.0,0,0,97,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
60,0XCFCCE06AF0EE209DFA340247199057FE619C98C9,420,13492.33979678191,10498843,12633238,5081,1374.052945915585,407,13492.33979678191,0,0.0,0,0.0,0,0,9,0,0,0.0,0,0,0,0.0,4,0,0,0.0,0,0.0,PLATINUM
61,0X5039D3BFDF076BC1AE5A1B0257C7584C29FD7C2D,1741,13295.229929183897,10651071,12621405,1131,166.0,1731,13182.529929183896,0,0.0,9,112.7,0,0,0,0,0,0.0,0,0,0,0.0,1,0,0,0.0,0,0.0,PLATINUM
62,0X1F3826397EF2D62CE4123DC143B7EE633DA3EE91,1757,13006.070280009657,10916898,12692789,1010,100.0,1455,13006.070280009657,0,0.0,0,0.0,0,0,17,0,0,0.0,0,0,0,0.0,285,0,0,0.0,0,0.0,PLATINUM
63,0XB45CEC59E139462FF25B9D9EB01276A54C28925A,345,12517.200891602562,7468164,12610732,14905,509.966119932,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0.0,190,0,0,0.0,10,0,0,0.0,145,12517.200891602562,PLATINUM
64,0X741AA7CFB2C7BF2A1E7D4DA2E3DF6A56CA4131F3,243,12064.11566574934,10488648,12664108,8952,4677.172548003373,236,12064.11566574934,0,0.0,0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,6,0,0,0.0,0,0.0,PLATINUM
65,0XC26B5977C42C4FA2DD41750F8658F6BD2B67869C,71,11809.343648595,12014125,12681909,9405,1000.0,1,0.0,0,0.0,70,11809.343648595,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0.0,0,0.0,PLATINUM
66,0XAD128857E59A11AC345D40C6FB0C0832D7C31C56,421,11806.13209792635,9398034,12496051,7358,1500.0,360,3610.7402723916543,2,50.0,52,8095.144264562878,0,0,0,0,2,50.24756097181572,0,0,0,0.0,5,0,0,0.0,0,0.0,PLATINUM
67,0X45F21B16088C13A58F930D0CC778470BF2C357B9,1879,11798.974262695034,10660164,12686948,1078,239.0,1875,11798.974262695034,0,0.0,0,0.0,0,0,2,0,0,0.0,0,0,0,0.0,2,0,0,0.0,0,0.0,PLATINUM
68,0X0883B18403DD527C108FC78E9755F378C648CC8A,162,11647.240505611566,10304785,12669894,14599,913.6083782331359,158,11647.240505611566,0,0.0,0,0.0,0,0,1,0,0,0.0,0,0,0,0.0,3,0,0,0.0,0,0.0,PLATINUM
