,blockNumber,timestamp_iso8601,timestamp_unixtime,redeemer,redeemAmount,redeemTokens
0,12805990,2021-07-11T12:28:02Z,1626006482,0x129cca387eacfe191d8edde1d8d9723b6b891a8b,55660015739376799143,274096570183
0,12805946,2021-07-11T12:18:58Z,1626005938,0x930af7923b8b5f8d3461ad1999ceeb8a62884b19,2244000000000000000000,11050532534495
0,12805402,2021-07-11T10:10:34Z,1625998234,0x023d8a712f84d6c6ea00620124eeea2684966fd3,1007385319663462891,4960859614
0,12805177,2021-07-11T09:25:53Z,1625995553,0xe6a66853a231a388affff74282e2f2ef6d45af4e,42677577382693401,210165525
0,12804556,2021-07-11T07:00:28Z,1625986828,0x259e20aeb8ee53cddc039ae776cc93035f269f6f,596626229272993692456,2938090457091
0,12804346,2021-07-11T06:14:10Z,1625984050,0x58fbff086af3a083b498141c8288f5214bf5932d,1055498126369816879,5197813103
0,12803990,2021-07-11T04:48:20Z,1625978900,0x4aae077855bee0b8059d0ea53fdbe6cca66e3bc7,37504020207950624,184689263
0,12803924,2021-07-11T04:33:25Z,1625978005,0xca386aef71a35c396280364e6c663149cf06ee25,0,0
0,12803916,2021-07-11T04:32:07Z,1625977927,0xca386aef71a35c396280364e6c663149cf06ee25,500952812779289900,2466952429
0,12802733,2021-07-11T00:06:38Z,1625961998,0x0edac67bf8860abcd975c0ed196158933f88d57a,239579184301036215,1179818320
0,12802436,2021-07-10T23:00:54Z,1625958054,0x7f9e7b8ff32f65a360d6647834ea03b64aeec11c,104812138665723343,516152652
0,12802295,2021-07-10T22:29:46Z,1625956186,0x0da4d4ef3f050ae4fc58ac1de5e6ce7af63f9210,4426873901284695364,21800375883
0,12802117,2021-07-10T21:46:00Z,1625953560,0xaadb7cc8587ca5ae3e5c98b9e78f6024953c0bd0,624383924086684276283,3074814064963
0,12802098,2021-07-10T21:42:44Z,1625953364,0xd98a3954353055ab642c9159c7f3b25dac2dc29b,3161452462424811153,15568753254
0,12802043,2021-07-10T21:28:08Z,1625952488,0xdeb9553eed4a1e9896000071e50a19ec83301574,1000192823122228983,4925507799
0,12801923,2021-07-10T20:57:19Z,1625950639,0x2ae4cc098e2f23ce18c947fe1f5d3723a7d02d18,4442144705414413600,21875610967
0,12801800,2021-07-10T20:26:44Z,1625948804,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,2984377245370278356,14696754079
0,12801684,2021-07-10T20:02:54Z,1625947374,0xe9611e603f1678498131f617ffeb7827353d3657,185541640960106380,913711952
0,12801479,2021-07-10T19:19:49Z,1625944789,0x5676fee9c726f1134a0203b1a61adb666c6c1599,120051793308180304,591203406
0,12801182,2021-07-10T18:12:10Z,1625940730,0x00a9925ee08381819921f07f9fa3f980e0f38b19,1000985463170111446,4929428504
0,12800520,2021-07-10T15:43:57Z,1625931837,0xd577d765efa87a0184546446ad6d86bdfaaccc9c,62374699865099010,307169749
0,12800255,2021-07-10T14:50:54Z,1625928654,0x19fbad9480aaf449aea5343b5bbca864a3124d4f,5007252459876701586,24658686081
0,12800048,2021-07-10T13:57:14Z,1625925434,0x008b3b2f992c0e14edaa6e2c662bec549caa8df1,139587987354993606696,687414763674
0,12800009,2021-07-10T13:49:14Z,1625924954,0x0fbfa8611d95803b6be328450bef7b574c1627c0,126906199246537910,624962151
0,12799710,2021-07-10T12:40:12Z,1625920812,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,4392099330000000000,21629354643
0,12798211,2021-07-10T07:04:52Z,1625900692,0xf70f271b65019484b3f1db3af0e2329ab6c72420,18075320635564342,89014361
0,12798157,2021-07-10T06:52:39Z,1625899959,0x0296da1f50dd677f3a25988bf4d415e26a9a65a7,96428703022616261,474876294
0,12797700,2021-07-10T05:04:27Z,1625893467,0x7859d12f4e4c4d10a849d6ecc53015d2aa2893be,500000000000000000,2462322763
0,12797135,2021-07-10T03:04:32Z,1625886272,0x9c64852462130365898ea6e0b3d9513fa04ee9eb,558153696829978705,2748715455
0,12797030,2021-07-10T02:42:28Z,1625884948,0x830f8a8e128669dfb3f37fff543ba8a97717d098,3077938830766699490,15157799210
0,12796102,2021-07-09T23:25:21Z,1625873121,0x0d6af0a4fcd387182ca106270794d81477f6dffd,28668887453030407014,141185030627
0,12796072,2021-07-09T23:15:07Z,1625872507,0x3ff666f8810d8afaceb4d7af5006c6d8fd393f13,3077929545446672114,15157812843
0,12795749,2021-07-09T22:05:57Z,1625868357,0xa08366df7a45de712f14df298c05dba59c9010a0,839073367298016232,4132171860
0,12795302,2021-07-09T20:25:55Z,1625862355,0x381558c553719a0ed8c4ce9526acfafe867e03c7,58673779031316486235,288950396021
0,12795163,2021-07-09T19:56:04Z,1625860564,0x92234bb4cb188e9f308e647eb2926d80546066d3,228149163842617809,1123565412
0,12794930,2021-07-09T19:07:16Z,1625857636,0x37f1beb563aae1716cd89f37a8ebc28c8f6eeef7,704698290688882686,3470428584
0,12793484,2021-07-09T13:47:04Z,1625838424,0xfd04553992d91669ba54d39cbe04d7708da71e38,1056868499884978914,5204792440
0,12792749,2021-07-09T10:51:48Z,1625827908,0x995a09ed0b24ee13fbfcfbe60cad2fb6281b479f,117212073562560111154,577239597656
0,12792139,2021-07-09T08:36:49Z,1625819809,0x07229f93c471afe76488b84bc44ceec3ad124000,190841558721821266331,939848396284
0,12791878,2021-07-09T07:36:28Z,1625816188,0x07229f93c471afe76488b84bc44ceec3ad124000,56469203147910108239,278097428102
0,12791780,2021-07-09T07:16:19Z,1625814979,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,6282273702445696320,30938719900
0,12791126,2021-07-09T04:51:13Z,1625806273,0x48ecc8ed5d5c7b43d43f75784594333fb21dc6c1,4695652804598587285,23125047101
0,12790827,2021-07-09T03:42:18Z,1625802138,0xe6e7006ff0136a561bf07c7d1f20024acbfc33f9,1460410396735623231,7192205620
0,12790430,2021-07-09T02:07:00Z,1625796420,0xcdf449b5c9bd2a725319163c3e7f2d7222c4d8c9,6637565728171584712,32688629947
0,12790373,2021-07-09T01:53:23Z,1625795603,0x7c395dc22e6902b1d8197c2af5290e346ae08a23,13815787793652397116,68039895704
0,12790327,2021-07-09T01:44:00Z,1625795040,0xf92c99d93c2576749aed6bf0220180c67324b089,559494816291047777,2755396701
0,12789890,2021-07-09T00:08:59Z,1625789339,0x062e73c5971ec9b7772e4d3ede1e7d3e84e86d8b,63681331824195,313618
0,12788497,2021-07-08T19:04:18Z,1625771058,0x7e16bfa814f0c91defc26d8bbb8d36bd65820867,3551083687027782972,17488486473
0,12788079,2021-07-08T17:37:34Z,1625765854,0x81402dfe1f132a9e440813c2ae15981397aaa404,32629052864372849615,160692840761
0,12788060,2021-07-08T17:32:38Z,1625765558,0x0d6af0a4fcd387182ca106270794d81477f6dffd,17231264623417226137,84861215217
0,12787248,2021-07-08T14:34:19Z,1625754859,0x6479a4a376e25ca81a41d1de3b13ea17ddb52ba0,568454707524402250,2799557585
0,12786206,2021-07-08T10:32:34Z,1625740354,0x171d7f882003f736fa94b999fa35696cfa8f6b55,603560866092959684,2972463078
0,12785559,2021-07-08T08:09:56Z,1625731796,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,84639990000000000000,416842654998
0,12785552,2021-07-08T08:08:30Z,1625731710,0x0e910a91f98ca9b5848b16d5c294645a2c4ba643,11672478345805621937,57485675553
0,12785423,2021-07-08T07:35:37Z,1625729737,0x58dc53f7175fdd30c70ab5717c6e91edd8aed017,2187004470914673205,10770762843
0,12784752,2021-07-08T05:01:42Z,1625720502,0x7c6ce24d013cd4ddf4c193ce318e3d5533a33f42,500034943379520467,2462625341
0,12784667,2021-07-08T04:43:23Z,1625719403,0x7859d12f4e4c4d10a849d6ecc53015d2aa2893be,500000000000000000,2462454107
0,12784650,2021-07-08T04:39:51Z,1625719191,0xf95b16c108583ed62ea419d453b899fd882fc73f,140890976927751655059,693875178283
0,12783695,2021-07-08T01:00:25Z,1625706025,0x50975fbb222a966f20379abc84ee0da8c49c42bf,23725716023115696595,116847440260
0,12783684,2021-07-08T00:58:17Z,1625705897,0xa72eacee720136a3b174e644ec24459d2c60512d,3910777195963156969,19260296506
0,12783579,2021-07-08T00:38:10Z,1625704690,0x7e16bfa814f0c91defc26d8bbb8d36bd65820867,28468295759613802,140204370
0,12783153,2021-07-07T23:00:59Z,1625698859,0xca9f486512154391c63a67069bfc1b1e4fb44774,50000000000000000000,246246942078
0,12782998,2021-07-07T22:28:27Z,1625696907,0xe42cfe866b1111fb55622608acc0d49840b2de70,1000000000000000000,4924941976
0,12782693,2021-07-07T21:23:15Z,1625692995,0xf003846d163e4e272f5278a9acdce9ac4f0c883c,778500000000000000,3834072130
0,12781869,2021-07-07T18:14:33Z,1625681673,0xa549d687b131bf2563f6a1ed7e0549f273b0fd21,35731258883040036,175975194
0,12780449,2021-07-07T13:04:29Z,1625663069,0x129cca387eacfe191d8edde1d8d9723b6b891a8b,14000000000000000000,68949911163
0,12779739,2021-07-07T10:26:40Z,1625653600,0x7c6ce24d013cd4ddf4c193ce318e3d5533a33f42,13921278749618318456,68562410034
0,12779263,2021-07-07T08:32:58Z,1625646778,0x129cca387eacfe191d8edde1d8d9723b6b891a8b,25000000000000000000,123125442959
0,12779193,2021-07-07T08:19:30Z,1625645970,0x7f29af7083031878450380fec8c8ab7d485d7344,200000000000000000000,985003828385
0,12779166,2021-07-07T08:15:42Z,1625645742,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,1120000000000000000000,5516022054724
0,12779148,2021-07-07T08:12:06Z,1625645526,0xe869f658a9621be0fbde241b3796b782d00b406f,1041991441816526089,5131828750
0,12778819,2021-07-07T06:53:40Z,1625640820,0x07229f93c471afe76488b84bc44ceec3ad124000,67000000000000000000,329976790966
0,12777488,2021-07-07T01:52:15Z,1625622735,0xd10f8e4a4529b7e1ae7ecaa73ba7b7d645345322,1535295425180425003,7561412456
0,12777324,2021-07-07T01:13:23Z,1625620403,0xdf8579039db3bbb14acb2ec8942dc9573c0b649b,22986682179470226747,113210721212
0,12777028,2021-07-07T00:03:30Z,1625616210,0xbea0c0e7995fa5305aebab845e6f36910e82aa72,64717773140305534524,318739113666
0,12776937,2021-07-06T23:41:10Z,1625614870,0xdb17855bc949335c02511fde712a25f1693f3968,6686251702671998158,32930223593
0,12776724,2021-07-06T22:58:16Z,1625612296,0x5576a47b84867e70d4af3ec8cd018de0ab22025e,2087855140311245890,10282831092
0,12776432,2021-07-06T21:55:44Z,1625608544,0xbc82221e131c082336cf698f0ca3ebd18afd4ce7,2950286882445028062822,14530384591355
0,12776284,2021-07-06T21:19:41Z,1625606381,0xca9f486512154391c63a67069bfc1b1e4fb44774,50000000000000000000,246253905741
0,12776263,2021-07-06T21:14:34Z,1625606074,0xca9f486512154391c63a67069bfc1b1e4fb44774,40000000000000000000,197003141453
