,blockNumber,timestamp_iso8601,timestamp_unixtime,payer,borrower,repayAmount,accountBorrows,totalBorrows
0,11670015,2021-01-17T02:29:02Z,1610850542,0x6780846518290724038e86c98a1e903888338875,0xb9d706430e316952b9855db5d74f593b52404831,9349906499999999150,9350093500000000850,83945887882585827373739
0,11664942,2021-01-16T07:31:55Z,1610782315,0x9a16adef30aee2ae2e76572fcf3b548784ebda3b,0x9a16adef30aee2ae2e76572fcf3b548784ebda3b,6000595803950446344,0,82443751974717166405406
0,11664926,2021-01-16T07:26:16Z,1610781976,0x68c88fe8fee367d64fab809621c44dadf9bec2b7,0x68c88fe8fee367d64fab809621c44dadf9bec2b7,57463243347168454324,331597541966383992124,82449685086817064724529
0,11661632,2021-01-15T19:28:03Z,1610738883,0x339dab47bdd20b4c05950c4306821896cfb1ff1a,0x339dab47bdd20b4c05950c4306821896cfb1ff1a,3877006870489525000,0,82486846788903880440834
0,11660943,2021-01-15T16:58:08Z,1610729888,0x681bd23f6128db3f9b8914595d1a63830a6212fa,0x6ed24fd70e14c7a7e56e204fbe77625fcbe1e351,1500227994171959481,1530582070960475367,82487680103035618334116
0,11660776,2021-01-15T16:22:15Z,1610727735,0xf2af9fd1073b152ba2d9b04827eff7e7717bc607,0xf2af9fd1073b152ba2d9b04827eff7e7717bc607,23171021350671925541,0,82488442350726497607855
0,11659006,2021-01-15T09:57:50Z,1610704670,0xa0917a631b5a0cd28d7e7a023152ecec80f4f9e9,0xa0917a631b5a0cd28d7e7a023152ecec80f4f9e9,166681659282814530,56926771456018,82503924602858810040726
0,11658120,2021-01-15T06:44:37Z,1610693077,0xfff9182d3b128d28b2abd4cae102a9e031b3e1f6,0xfff9182d3b128d28b2abd4cae102a9e031b3e1f6,1338808797272244582,0,82500287563141313509720
0,11658021,2021-01-15T06:24:05Z,1610691845,0x913f269a2ecda1caa34984ca1e335d61eb376f34,0xee939206d8bebd8d8d4e057641ac7a9c76c0b4cb,2016705815973013415,2016705815973013416,82501200844169252116164
0,11655052,2021-01-14T19:20:47Z,1610652047,0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,0x3ee505ba316879d246a8fd2b3d7ee63b51b44fab,2587447642360000000000,793641126666321631,79884549439090886106495
0,11649607,2021-01-13T23:01:04Z,1610578864,0xf69ea6646cf682262e84cd7c67133eac59cef07b,0xf69ea6646cf682262e84cd7c67133eac59cef07b,2000007618262101812548,0,70305250631452681314112
0,11649328,2021-01-13T21:59:04Z,1610575144,0x034a5f8678455ea078021e7a5b34ab7ef210674e,0x034a5f8678455ea078021e7a5b34ab7ef210674e,6000008193336628156941,0,67616813706985571150004
0,11648745,2021-01-13T20:04:52Z,1610568292,0x285ce8250bda19425cafe86297ed5a08bac5d8e3,0x285ce8250bda19425cafe86297ed5a08bac5d8e3,250000958964769011960,0,67614824934231096983547
0,11645917,2021-01-13T09:50:59Z,1610531459,0x7a8edc710ddeadddb0b539de83f3a306a621e823,0x7a8edc710ddeadddb0b539de83f3a306a621e823,177132877878562778102,0,32609797158715575045707
