,blockNumber,A3E8E4_ACCRUEINTEREST_cashPrior,A3E8E4_ACCRUEINTEREST_interestAccumulated,A3E8E4_ACCRUEINTEREST_borrowIndex,A3E8E4_ACCRUEINTEREST_totalBorrows,A3E8E4_FAILURE_error,A3E8E4_FAILURE_info,A3E8E4_FAILURE_detail,A3E8E4_APPROVAL_owner,A3E8E4_APPROVAL_spender,A3E8E4_APPROVAL_amount,A3E8E4_BORROW_borrower,A3E8E4_BORROW_borrowAmount,A3E8E4_BORROW_accountBorrows,A3E8E4_BORROW_totalBorrows,A3E8E4_MINT_minter,A3E8E4_MINT_mintAmount,A3E8E4_MINT_mintTokens,A3E8E4_REDEEM_redeemer,A3E8E4_REDEEM_redeemAmount,A3E8E4_REDEEM_redeemTokens,A3E8E4_TRANSFER_fromAddress,A3E8E4_TRANSFER_toAddress,A3E8E4_TRANSFER_amount,A3E8E4_REPAYBORROW_payer,A3E8E4_REPAYBORROW_borrower,A3E8E4_REPAYBORROW_repayAmount,A3E8E4_REPAYBORROW_accountBorrows,A3E8E4_REPAYBORROW_totalBorrows,ABDD52_TRANSFER_fromAddress,ABDD52_TRANSFER_toAddress,ABDD52_TRANSFER_value
74,11946253.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xb7CC77205D9B8F5Ab11cB26Ac442517043cD7817,0x73aB05e6D40111D59Fd3e73Ef060feD42E20F1F3,150000000000000000
75,11946352.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x2A79F7AEF752bD23F87F7C4164A9Ef811d6Ba31e,0xf2585717dfE3C05089417a8adbD8D8aE490587b4,8000000000000000000
76,11946471.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x79D0f78F961371d808b28dd8fB5C9f666d6C17B2,0x5C22617d291517258Eb9e2F49553DD56Ca2881f7,13698630136986301369
77,11946942.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xD60E0888D9Af299D16a3De0d3951d59c701c3Eeb,0xdB672a025483C51f0BBC4488587069b1E7c2d740,1120000000000000000
78,11946953.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xFad403a81c690E905EaCa98bc896ec6c6852c381,0x535FCA9CAF18397C0da945889A64FE128b4cC566,910000000000000000
79,11947016.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x2680C414619e44151d7A833B19A6DBb74C65b852,0x65434251F79A98b29f46c53908Ed3cA481600044,22111454547732476987
80,11947125.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x59221284bD17200B4BAfdcaE9B49080bbA70b52c,0x59221284bD17200B4BAfdcaE9B49080bbA70b52c,250000000000000000
81,11947830.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x59221284bD17200B4BAfdcaE9B49080bbA70b52c,0xcEf056F299b47c0e4031F486A87c19684887aF6E,5000000000000000000
82,11947848.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x59221284bD17200B4BAfdcaE9B49080bbA70b52c,0xcEf056F299b47c0e4031F486A87c19684887aF6E,12000000000000000000
83,11947856.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xbE31fA632b44C0A928C9C2C0604BfF291F496bA3,0x57A0401c0cefa0dC64059A1D0b9b5fd6354F2EA2,12079674390000000000
84,11947909.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x48567816Be8fF88F293212CCB17eE88Ef879ca74,0xFaB262C59B6633A2ad0A069c9E24df4eaa1dbEc5,14984646420000000000
85,11948350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xc2382430BEAccDBE659C44D915cB8e3C9287275B,0xe350686EC521454604B7dBbC6bc4741159bE313d,150000000000000000
86,11948793.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x2F9b99E7228d4baedE031E614Fdd106E4fA8A33D,0xA55eC708Ed026223aAe29c8B450af8e45a85EEb7,110000000000000000000
87,11948941.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xA5Df756790a5d282AA0F6C737F2Fcaf98dd041E2,0xC1521Ed312a5DCe9e35c1B569a2A35B0d47e9bD1,4995000000000000000
88,11949047.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x7f33562851E9A135f5ea4893D3A1f088b97315e4,0x8E9E564431ebED086A533Ab5099F7d6704174965,1000000000000000000
89,11949101.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x867A9Accdbeb3BcEbc53FBA04aE5B65D0E32C6Dd,0x4D19Ca3cFA6401ED58fdb91cF0399fd38B32e581,100000000000000000
90,11949129.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x9Cc323D8AAA2366203980a654B7e4585daE2f232,0xA4d5026C96E81538d92c7cFc33B67a3c8832A261,1000000000000000000
91,11949147.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x9Cc323D8AAA2366203980a654B7e4585daE2f232,0xA4d5026C96E81538d92c7cFc33B67a3c8832A261,880158513570000000000
92,11949161.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x7aF95fDba886Eaf50b06ee5DAF25Ef0CafDC37F4,0x219Bd8d2b03748aD4c890C169cE0816BAE087e41,200000000000000000
93,11949189.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x867A9Accdbeb3BcEbc53FBA04aE5B65D0E32C6Dd,0x4D19Ca3cFA6401ED58fdb91cF0399fd38B32e581,10700000000000000000
94,11949240.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x7f33562851E9A135f5ea4893D3A1f088b97315e4,0x8E9E564431ebED086A533Ab5099F7d6704174965,3000000000000000000
95,11949292.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x7f33562851E9A135f5ea4893D3A1f088b97315e4,0x8E9E564431ebED086A533Ab5099F7d6704174965,5794500000000000000
96,11949402.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xCaa1DA159b0c548cd904D258b57ca639Ab1950a6,0x1CE623DB614855a93dfe8ed2e37C8B78F152E3a2,50000000000000000000
97,11949417.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x7aF95fDba886Eaf50b06ee5DAF25Ef0CafDC37F4,0xe6A011EA0B65bFf27e7aCaAe06906648D9516ddb,461287460000000000
98,11949576.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x897C02e1A8627656E195A277Ecc3270b347DD318,0x232E67483637543EA0f2A2A06C019C872C6A82D8,1000000000000000000
99,11949599.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xE48b8d77d48f170c03F6B768c316769CB9bFddA4,0x6b34f6C44DfB589ba77eACEfCDBF15C3434dE34C,7000000000000000000
100,11949656.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x897C02e1A8627656E195A277Ecc3270b347DD318,0xc9F29F77F49Fc1834c2A89FB07255E446c4e42d1,1000000000000000000
101,11949679.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x5A7ead1075B83174BdaC1303c887E6A0D96fb3c3,0x80DC30aDAAe740CdD99c0dA1015E7cf08d1d5644,1000000000000000000
102,11949698.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x897C02e1A8627656E195A277Ecc3270b347DD318,0xc9F29F77F49Fc1834c2A89FB07255E446c4e42d1,75000000000000000000
103,11949727.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x5A7ead1075B83174BdaC1303c887E6A0D96fb3c3,0x80DC30aDAAe740CdD99c0dA1015E7cf08d1d5644,18033916783782764328
104,11949850.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xAeEc6f5aCA72F3A005af1B3420ab8c8c7009BaC8,0x6006eAE4C289e2D2b899838933032179088f1fBA,2412514720000000000
105,11949952.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xC01143E1250754b7681c153b8cE8790eBBE3a37D,0xdB03e6122072B1ff1d15e77BbE592305Ae5B7be3,18845707400000000000
106,11949957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xa3E66CB91595685419A49B44c93febF3bB12a972,0xC9B6E4A62Ca57d264BeF08E3Af7ED8B90AEb0F36,100000000000000000
107,11949988.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xa3E66CB91595685419A49B44c93febF3bB12a972,0xC9B6E4A62Ca57d264BeF08E3Af7ED8B90AEb0F36,218919885000000000000
108,11950196.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0x1003C53603757Eac66cAD36181aa222eE93614Eb,0x7B3515C110A74BbD7f999C4AB42fce04b5960784,1000000000000000000
109,11950789.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0xB84C96C008d0c11Cd2d71F966dF7b80c30337666,0x2619aA4CEB9E8300c5994392afbb2518673b7e7d,150000000000000000
